"id","name","category","discipline_id","default_metric_type","default_equipment_tags","created_at"
1,City Run,CARDIO,,DISTANCE,[],2026-01-19 23:26:38.956151
2,Trail Run,CARDIO,,DISTANCE,[],2026-01-19 23:26:38.960022
5,Rucking,CARDIO,,DISTANCE,["backpack"],2026-01-19 23:26:38.96403
6,Tennis,SPORT,,TIME,["racket"],2026-01-19 23:26:38.965377
7,Padel,SPORT,,TIME,["racket"],2026-01-19 23:26:38.966711
8,Pickleball,SPORT,,TIME,["racket"],2026-01-19 23:26:38.968043
9,Squash,SPORT,,TIME,["racket"],2026-01-19 23:26:38.969264
10,Badminton,SPORT,,TIME,["racket"],2026-01-19 23:26:38.970522
11,Golf,SPORT,,TIME,["clubs"],2026-01-19 23:26:38.971758
12,Bouldering,SPORT,,TIME,[],2026-01-19 23:26:38.97306
13,Basketball,SPORT,,TIME,["ball"],2026-01-19 23:26:38.97433
14,Indoor Football (6-a-side),SPORT,,TIME,[],2026-01-19 23:26:38.975596
15,Football (11-a-side),SPORT,,TIME,[],2026-01-19 23:26:38.976864
16,Surfing,SPORT,,TIME,["board"],2026-01-19 23:26:38.978121
17,Kayaking,SPORT,,TIME,["kayak"],2026-01-19 23:26:38.979347
18,Pilates,MOBILITY,,TIME,[],2026-01-19 23:26:38.980573
19,Yoga,MOBILITY,,TIME,["mat"],2026-01-19 23:26:38.981798
3,Cycling,CARDIO,,DISTANCE,["bike"],2026-01-19 23:26:38.96142
4,Swimming,CARDIO,,DISTANCE,[],2026-01-19 23:26:38.96279
