"id","program_id","start_date","length_days","sequence_number","status","is_deload"
1,1,2026-01-15,7,1,ACTIVE,false
2,1,2026-01-22,7,2,PLANNED,false
3,1,2026-01-29,7,3,PLANNED,false
4,1,2026-02-05,7,4,PLANNED,true
5,1,2026-02-12,7,5,PLANNED,false
6,1,2026-02-19,7,6,PLANNED,false
7,1,2026-02-26,7,7,PLANNED,false
8,1,2026-03-05,7,8,PLANNED,true
9,1,2026-03-12,7,9,PLANNED,false
10,1,2026-03-19,7,10,PLANNED,false
11,1,2026-03-26,7,11,PLANNED,false
12,1,2026-04-02,7,12,PLANNED,true
13,2,2026-01-15,7,1,ACTIVE,false
14,2,2026-01-22,7,2,PLANNED,false
15,2,2026-01-29,7,3,PLANNED,false
16,2,2026-02-05,7,4,PLANNED,true
17,2,2026-02-12,7,5,PLANNED,false
18,2,2026-02-19,7,6,PLANNED,false
19,2,2026-02-26,7,7,PLANNED,false
20,2,2026-03-05,7,8,PLANNED,true
21,2,2026-03-12,7,9,PLANNED,false
22,2,2026-03-19,7,10,PLANNED,false
23,2,2026-03-26,7,11,PLANNED,false
24,2,2026-04-02,7,12,PLANNED,true
25,3,2026-01-16,7,1,ACTIVE,false
26,3,2026-01-23,7,2,PLANNED,false
27,3,2026-01-30,7,3,PLANNED,false
28,3,2026-02-06,7,4,PLANNED,true
29,3,2026-02-13,7,5,PLANNED,false
30,3,2026-02-20,7,6,PLANNED,false
31,3,2026-02-27,7,7,PLANNED,false
32,3,2026-03-06,7,8,PLANNED,true
33,3,2026-03-13,7,9,PLANNED,false
34,3,2026-03-20,7,10,PLANNED,false
35,3,2026-03-27,7,11,PLANNED,false
36,3,2026-04-03,7,12,PLANNED,true
37,4,2026-01-16,7,1,ACTIVE,false
38,4,2026-01-23,7,2,PLANNED,false
39,4,2026-01-30,7,3,PLANNED,false
40,4,2026-02-06,7,4,PLANNED,true
41,4,2026-02-13,7,5,PLANNED,false
42,4,2026-02-20,7,6,PLANNED,false
43,4,2026-02-27,7,7,PLANNED,false
44,4,2026-03-06,7,8,PLANNED,true
45,4,2026-03-13,7,9,PLANNED,false
46,4,2026-03-20,7,10,PLANNED,false
47,4,2026-03-27,7,11,PLANNED,false
48,4,2026-04-03,7,12,PLANNED,true
49,5,2026-01-16,7,1,ACTIVE,false
50,5,2026-01-23,7,2,PLANNED,false
51,5,2026-01-30,7,3,PLANNED,false
52,5,2026-02-06,7,4,PLANNED,true
53,5,2026-02-13,7,5,PLANNED,false
54,5,2026-02-20,7,6,PLANNED,false
55,5,2026-02-27,7,7,PLANNED,false
56,5,2026-03-06,7,8,PLANNED,true
57,5,2026-03-13,7,9,PLANNED,false
58,5,2026-03-20,7,10,PLANNED,false
59,5,2026-03-27,7,11,PLANNED,false
60,5,2026-04-03,7,12,PLANNED,true
61,6,2026-01-16,7,1,ACTIVE,false
62,6,2026-01-23,7,2,PLANNED,false
63,6,2026-01-30,7,3,PLANNED,false
64,6,2026-02-06,7,4,PLANNED,true
65,6,2026-02-13,7,5,PLANNED,false
66,6,2026-02-20,7,6,PLANNED,false
67,6,2026-02-27,7,7,PLANNED,false
68,6,2026-03-06,7,8,PLANNED,true
69,6,2026-03-13,7,9,PLANNED,false
70,6,2026-03-20,7,10,PLANNED,false
71,6,2026-03-27,7,11,PLANNED,false
72,6,2026-04-03,7,12,PLANNED,true
73,7,2026-01-16,7,1,ACTIVE,false
74,7,2026-01-23,7,2,PLANNED,false
75,7,2026-01-30,7,3,PLANNED,false
76,7,2026-02-06,7,4,PLANNED,true
77,7,2026-02-13,7,5,PLANNED,false
78,7,2026-02-20,7,6,PLANNED,false
79,7,2026-02-27,7,7,PLANNED,false
80,7,2026-03-06,7,8,PLANNED,true
81,7,2026-03-13,7,9,PLANNED,false
82,7,2026-03-20,7,10,PLANNED,false
83,7,2026-03-27,7,11,PLANNED,false
84,7,2026-04-03,7,12,PLANNED,true
85,8,2026-01-16,7,1,ACTIVE,false
86,8,2026-01-23,7,2,PLANNED,false
87,8,2026-01-30,7,3,PLANNED,false
88,8,2026-02-06,7,4,PLANNED,true
89,8,2026-02-13,7,5,PLANNED,false
90,8,2026-02-20,7,6,PLANNED,false
91,8,2026-02-27,7,7,PLANNED,false
92,8,2026-03-06,7,8,PLANNED,true
93,8,2026-03-13,7,9,PLANNED,false
94,8,2026-03-20,7,10,PLANNED,false
95,8,2026-03-27,7,11,PLANNED,false
96,8,2026-04-03,7,12,PLANNED,true
97,9,2026-01-16,7,1,ACTIVE,false
98,9,2026-01-23,7,2,PLANNED,false
99,9,2026-01-30,7,3,PLANNED,false
100,9,2026-02-06,7,4,PLANNED,true
101,9,2026-02-13,7,5,PLANNED,false
102,9,2026-02-20,7,6,PLANNED,false
103,9,2026-02-27,7,7,PLANNED,false
104,9,2026-03-06,7,8,PLANNED,true
105,9,2026-03-13,7,9,PLANNED,false
106,9,2026-03-20,7,10,PLANNED,false
107,9,2026-03-27,7,11,PLANNED,false
108,9,2026-04-03,7,12,PLANNED,true
844,114,2026-01-24,14,1,ACTIVE,false
845,114,2026-02-07,14,2,PLANNED,false
846,114,2026-02-21,14,3,PLANNED,false
847,114,2026-03-07,14,4,PLANNED,true
848,114,2026-03-21,14,5,PLANNED,false
849,114,2026-04-04,14,6,PLANNED,false
850,115,2026-01-24,14,1,ACTIVE,false
851,115,2026-02-07,14,2,PLANNED,false
117,11,2026-01-16,7,1,ACTIVE,false
118,11,2026-01-23,7,2,PLANNED,false
119,11,2026-01-30,7,3,PLANNED,false
120,11,2026-02-06,7,4,PLANNED,true
121,11,2026-02-13,7,5,PLANNED,false
122,11,2026-02-20,7,6,PLANNED,false
123,11,2026-02-27,7,7,PLANNED,false
124,11,2026-03-06,7,8,PLANNED,true
125,11,2026-03-13,7,9,PLANNED,false
126,11,2026-03-20,7,10,PLANNED,false
127,11,2026-03-27,7,11,PLANNED,false
128,11,2026-04-03,7,12,PLANNED,true
129,12,2026-01-16,7,1,ACTIVE,false
130,12,2026-01-23,7,2,PLANNED,false
131,12,2026-01-30,7,3,PLANNED,false
132,12,2026-02-06,7,4,PLANNED,true
133,12,2026-02-13,7,5,PLANNED,false
134,12,2026-02-20,7,6,PLANNED,false
135,12,2026-02-27,7,7,PLANNED,false
136,12,2026-03-06,7,8,PLANNED,true
137,12,2026-03-13,7,9,PLANNED,false
138,12,2026-03-20,7,10,PLANNED,false
139,12,2026-03-27,7,11,PLANNED,false
140,12,2026-04-03,7,12,PLANNED,true
852,115,2026-02-21,14,3,PLANNED,false
853,115,2026-03-07,14,4,PLANNED,true
854,115,2026-03-21,14,5,PLANNED,false
855,115,2026-04-04,14,6,PLANNED,false
862,117,2026-01-24,14,1,ACTIVE,false
863,117,2026-02-07,14,2,PLANNED,false
864,117,2026-02-21,14,3,PLANNED,false
865,117,2026-03-07,14,4,PLANNED,true
866,117,2026-03-21,14,5,PLANNED,false
867,117,2026-04-04,14,6,PLANNED,false
868,118,2026-01-24,14,1,ACTIVE,false
869,118,2026-02-07,14,2,PLANNED,false
870,118,2026-02-21,14,3,PLANNED,false
871,118,2026-03-07,14,4,PLANNED,true
872,118,2026-03-21,14,5,PLANNED,false
873,118,2026-04-04,14,6,PLANNED,false
886,121,2026-01-24,14,1,ACTIVE,false
887,121,2026-02-07,14,2,PLANNED,false
888,121,2026-02-21,14,3,PLANNED,false
889,121,2026-03-07,14,4,PLANNED,true
890,121,2026-03-21,14,5,PLANNED,false
891,121,2026-04-04,14,6,PLANNED,false
892,122,2026-01-24,14,1,ACTIVE,false
893,122,2026-02-07,14,2,PLANNED,false
381,38,2026-01-19,7,1,ACTIVE,false
382,38,2026-01-26,7,2,PLANNED,false
383,38,2026-02-02,7,3,PLANNED,false
384,38,2026-02-09,7,4,PLANNED,true
385,38,2026-02-16,7,5,PLANNED,false
386,38,2026-02-23,7,6,PLANNED,false
387,38,2026-03-02,7,7,PLANNED,false
388,38,2026-03-09,7,8,PLANNED,true
389,38,2026-03-16,7,9,PLANNED,false
390,38,2026-03-23,7,10,PLANNED,false
391,38,2026-03-30,7,11,PLANNED,false
392,38,2026-04-06,7,12,PLANNED,true
894,122,2026-02-21,14,3,PLANNED,false
895,122,2026-03-07,14,4,PLANNED,true
896,122,2026-03-21,14,5,PLANNED,false
897,122,2026-04-04,14,6,PLANNED,false
241,22,2026-01-16,7,1,ACTIVE,false
242,22,2026-01-23,7,2,PLANNED,false
243,22,2026-01-30,7,3,PLANNED,false
244,22,2026-02-06,7,4,PLANNED,true
245,22,2026-02-13,7,5,PLANNED,false
246,22,2026-02-20,7,6,PLANNED,false
247,22,2026-02-27,7,7,PLANNED,false
248,22,2026-03-06,7,8,PLANNED,true
249,22,2026-03-13,7,9,PLANNED,false
250,22,2026-03-20,7,10,PLANNED,false
251,22,2026-03-27,7,11,PLANNED,false
252,22,2026-04-03,7,12,PLANNED,true
429,42,2026-01-20,7,1,ACTIVE,false
430,42,2026-01-27,7,2,PLANNED,false
431,42,2026-02-03,7,3,PLANNED,false
432,42,2026-02-10,7,4,PLANNED,true
433,42,2026-02-17,7,5,PLANNED,false
434,42,2026-02-24,7,6,PLANNED,false
435,42,2026-03-03,7,7,PLANNED,false
436,42,2026-03-10,7,8,PLANNED,true
437,42,2026-03-17,7,9,PLANNED,false
438,42,2026-03-24,7,10,PLANNED,false
439,42,2026-03-31,7,11,PLANNED,false
440,42,2026-04-07,7,12,PLANNED,true
441,43,2026-01-20,7,1,ACTIVE,false
