"movement_id","discipline"
41,calisthenics
42,calisthenics
1,powerlifting
4,calisthenics
7,powerlifting
11,powerlifting
13,powerlifting
16,calisthenics
17,calisthenics
18,powerlifting
20,calisthenics
21,calisthenics
22,powerlifting
25,calisthenics
26,calisthenics
27,calisthenics
29,calisthenics
37,calisthenics
38,calisthenics
59,calisthenics
60,calisthenics
127,strongman
127,powerlifting
34,strongman
35,strongman
36,strongman
63,strongman
78,strongman
78,powerlifting
79,strongman
79,powerlifting
81,strongman
81,powerlifting
89,strongman
89,powerlifting
124,strongman
124,powerlifting
130,strongman
130,powerlifting
55,yoga
181,strongman
181,powerlifting
56,yoga
398,crossfit
198,strongman
198,powerlifting
401,crossfit
400,crossfit
402,crossfit
404,crossfit
406,crossfit
407,crossfit
408,crossfit
411,crossfit
412,crossfit
414,crossfit
241,olympic_weightlifting
247,olympic_weightlifting
260,calisthenics
266,strongman
266,powerlifting
281,strongman
281,powerlifting
308,strongman
308,powerlifting
316,olympic_weightlifting
322,strongman
322,powerlifting
355,strongman
355,powerlifting
72,bodybuilding
379,crossfit
380,crossfit
377,crossfit
381,crossfit
70,bodybuilding
71,bodybuilding
77,bodybuilding
78,bodybuilding
49,bodybuilding
79,bodybuilding
385,crossfit
80,bodybuilding
83,bodybuilding
84,bodybuilding
86,bodybuilding
386,crossfit
88,bodybuilding
90,bodybuilding
95,bodybuilding
99,bodybuilding
102,bodybuilding
105,bodybuilding
106,bodybuilding
107,bodybuilding
108,bodybuilding
388,crossfit
111,bodybuilding
113,bodybuilding
117,bodybuilding
118,bodybuilding
121,bodybuilding
124,bodybuilding
125,bodybuilding
130,bodybuilding
135,bodybuilding
138,bodybuilding
141,bodybuilding
143,bodybuilding
144,bodybuilding
145,bodybuilding
146,bodybuilding
147,bodybuilding
149,bodybuilding
151,bodybuilding
153,bodybuilding
155,bodybuilding
50,bodybuilding
159,bodybuilding
223,bodybuilding
390,crossfit
51,bodybuilding
168,bodybuilding
391,crossfit
52,bodybuilding
53,bodybuilding
172,bodybuilding
173,bodybuilding
174,bodybuilding
393,crossfit
175,bodybuilding
177,bodybuilding
178,bodybuilding
179,bodybuilding
181,bodybuilding
182,bodybuilding
183,bodybuilding
394,crossfit
184,bodybuilding
395,crossfit
185,bodybuilding
186,bodybuilding
189,bodybuilding
190,bodybuilding
192,bodybuilding
193,bodybuilding
195,bodybuilding
198,bodybuilding
199,bodybuilding
201,bodybuilding
203,bodybuilding
210,bodybuilding
47,bodybuilding
48,bodybuilding
211,bodybuilding
212,bodybuilding
372,crossfit
230,bodybuilding
232,bodybuilding
233,bodybuilding
433,crossfit
434,crossfit
238,bodybuilding
239,bodybuilding
241,bodybuilding
243,bodybuilding
435,crossfit
247,bodybuilding
248,bodybuilding
250,bodybuilding
251,bodybuilding
253,bodybuilding
254,bodybuilding
256,bodybuilding
257,bodybuilding
258,bodybuilding
260,bodybuilding
261,bodybuilding
265,bodybuilding
268,bodybuilding
438,crossfit
272,bodybuilding
274,bodybuilding
275,bodybuilding
276,bodybuilding
282,bodybuilding
283,bodybuilding
284,bodybuilding
285,bodybuilding
286,bodybuilding
287,bodybuilding
290,bodybuilding
291,bodybuilding
292,bodybuilding
298,bodybuilding
303,bodybuilding
306,bodybuilding
307,bodybuilding
311,bodybuilding
312,bodybuilding
315,bodybuilding
317,bodybuilding
320,bodybuilding
321,bodybuilding
326,bodybuilding
327,bodybuilding
328,bodybuilding
337,bodybuilding
338,bodybuilding
340,bodybuilding
343,bodybuilding
344,bodybuilding
345,bodybuilding
350,bodybuilding
359,bodybuilding
360,bodybuilding
361,bodybuilding
383,crossfit
363,bodybuilding
366,bodybuilding
374,crossfit
376,crossfit
382,crossfit
484,crossfit
15,crossfit
488,crossfit
491,crossfit
454,crossfit
485,crossfit
500,crossfit
501,crossfit
495,crossfit
494,crossfit
502,crossfit
26,bodybuilding
