"movement_id","equipment_id"
507,211
508,223
509,223
510,225
511,225
512,211
513,223
514,212
515,223
516,223
517,211
518,211
519,211
520,211
521,211
522,213
523,211
524,211
525,211
526,211
527,211
528,211
529,211
530,211
531,211
532,211
533,211
534,211
535,223
536,225
537,211
538,212
540,211
541,211
542,211
543,211
544,222
545,211
72,211
264,212
75,213
76,211
123,211
227,211
228,211
229,214
231,214
245,214
259,214
269,211
40,215
40,216
41,217
42,218
270,211
271,211
294,211
216,211
217,211
297,211
299,211
305,211
309,211
318,211
319,211
324,211
330,213
332,213
334,211
335,211
339,213
348,213
349,211
358,211
369,211
370,211
371,211
43,219
45,219
46,221
235,222
262,213
341,211
152,212
180,212
289,212
296,212
101,211
103,215
104,215
109,215
1,223
1,224
2,223
2,224
3,225
3,222
5,225
5,223
6,225
7,223
8,223
8,225
9,225
9,222
10,223
10,225
11,223
12,222
13,223
13,226
14,223
14,225
14,226
15,225
15,226
17,227
18,223
19,225
22,223
23,225
23,215
23,222
24,215
25,228
26,217
27,217
28,215
29,228
29,217
59,229
60,217
60,228
61,230
64,231
127,213
65,222
65,225
34,225
34,222
34,232
35,225
35,222
36,225
36,222
36,223
63,233
69,211
67,212
70,222
222,222
71,211
73,211
77,225
78,213
79,213
74,211
81,213
82,213
84,225
84,226
85,223
86,223
87,223
88,213
89,213
90,223
97,222
95,235
96,215
99,223
98,214
93,213
94,212
225,211
102,215
105,215
106,215
107,215
108,215
110,215
111,215
112,215
113,215
115,211
116,214
117,223
118,211
124,213
125,235
128,211
120,213
122,237
130,213
131,211
133,211
134,226
135,225
136,211
137,211
138,212
119,221
121,221
4,211
5,211
141,222
142,237
143,225
144,225
145,225
146,225
147,225
148,225
149,235
149,226
151,211
150,211
153,222
226,213
154,211
155,223
157,213
50,215
50,216
156,211
158,211
159,213
160,211
161,211
162,211
163,214
165,237
166,211
167,213
223,225
51,212
51,225
168,213
170,214
171,211
52,212
53,212
172,215
173,225
174,225
175,225
177,211
178,211
179,211
181,213
182,222
176,211
183,222
187,211
188,211
184,222
185,222
186,222
189,213
190,211
191,215
192,223
193,223
194,214
195,212
196,211
197,211
224,215
198,213
199,213
200,211
201,215
203,235
202,213
58,230
204,211
66,211
210,212
364,211
68,214
209,211
401,238
47,225
47,223
47,215
48,225
48,215
49,225
49,215
211,213
213,211
214,211
30,223
31,223
32,223
33,223
400,240
406,222
408,242
411,228
412,243
331,211
215,213
230,223
232,213
233,213
234,213
236,211
238,211
239,211
241,223
243,211
244,237
246,213
247,223
248,223
251,235
252,211
253,225
249,212
254,225
255,223
256,212
257,212
258,213
260,213
261,213
265,211
266,213
268,223
279,211
267,211
272,213
273,215
274,213
275,215
276,223
277,213
278,211
281,213
282,213
283,213
284,212
285,212
286,225
287,211
308,213
280,213
290,215
291,215
292,213
293,211
298,225
303,213
304,213
306,212
307,212
310,211
311,211
312,237
314,213
315,223
316,223
317,211
320,213
321,223
322,213
323,211
325,211
327,211
328,211
329,213
333,225
336,211
337,223
338,213
340,222
343,213
344,211
345,211
346,222
350,213
342,211
347,211
355,213
357,211
359,215
360,211
356,211
366,211
367,223
368,215
365,213
80,216
83,216
164,216
212,216
326,216
363,216
401,225
250,221
295,221
300,221
301,221
302,221
313,221
402,217
407,217
6,211
9,211
16,211
17,211
20,211
21,211
25,211
26,211
27,211
29,211
37,211
38,211
39,211
44,211
51,211
54,211
55,211
56,211
57,211
58,211
59,211
60,211
61,211
62,211
