"id","movement_id","muscle_id","role","magnitude"
597,264,42,SECONDARY,1
598,264,41,SECONDARY,1
599,264,39,SECONDARY,1
600,76,45,SECONDARY,1
601,123,41,SECONDARY,1
602,123,57,SECONDARY,1
603,227,40,SECONDARY,1
604,227,54,SECONDARY,1
605,259,45,SECONDARY,1
606,269,43,SECONDARY,1
607,269,57,SECONDARY,1
608,40,53,SECONDARY,1
609,41,55,SECONDARY,1
610,42,44,SECONDARY,1
611,42,47,SECONDARY,1
612,270,56,SECONDARY,1
613,271,42,SECONDARY,1
614,294,42,SECONDARY,1
615,299,41,SECONDARY,1
616,299,40,SECONDARY,1
617,305,56,SECONDARY,1
618,305,42,SECONDARY,1
619,318,41,SECONDARY,1
620,318,40,SECONDARY,1
621,318,54,SECONDARY,1
622,324,39,SECONDARY,1
623,330,56,SECONDARY,1
624,332,49,SECONDARY,1
625,332,43,SECONDARY,1
626,335,57,SECONDARY,1
627,358,43,SECONDARY,1
628,369,54,SECONDARY,1
629,369,57,SECONDARY,1
630,370,57,SECONDARY,1
631,371,42,SECONDARY,1
632,371,41,SECONDARY,1
633,371,39,SECONDARY,1
634,43,41,SECONDARY,1
635,43,42,SECONDARY,1
636,44,39,SECONDARY,1
637,44,40,SECONDARY,1
638,45,41,SECONDARY,1
639,45,42,SECONDARY,1
640,46,44,SECONDARY,1
641,46,47,SECONDARY,1
642,235,57,SECONDARY,1
643,235,50,SECONDARY,1
644,262,42,SECONDARY,1
645,262,40,SECONDARY,1
646,341,56,SECONDARY,1
647,341,42,SECONDARY,1
648,341,41,SECONDARY,1
649,341,39,SECONDARY,1
650,152,42,SECONDARY,1
651,152,41,SECONDARY,1
652,152,40,SECONDARY,1
653,180,41,SECONDARY,1
654,180,40,SECONDARY,1
655,289,42,SECONDARY,1
656,289,41,SECONDARY,1
657,289,40,SECONDARY,1
658,296,42,SECONDARY,1
659,296,41,SECONDARY,1
660,296,40,SECONDARY,1
661,101,40,SECONDARY,1
662,104,51,SECONDARY,1
663,104,41,SECONDARY,1
664,104,40,SECONDARY,1
665,104,54,SECONDARY,1
668,1,52,SECONDARY,1
671,2,45,SECONDARY,1
672,3,41,SECONDARY,1
673,3,52,SECONDARY,1
674,4,41,SECONDARY,1
675,4,55,SECONDARY,1
676,4,52,SECONDARY,1
677,5,41,SECONDARY,1
678,5,40,SECONDARY,1
679,6,41,SECONDARY,1
680,6,40,SECONDARY,1
684,7,51,SECONDARY,1
685,8,41,SECONDARY,1
686,8,54,SECONDARY,1
687,9,41,SECONDARY,1
688,9,52,SECONDARY,1
689,10,40,SECONDARY,1
690,11,41,SECONDARY,1
691,11,54,SECONDARY,1
692,12,40,SECONDARY,1
693,12,52,SECONDARY,1
694,12,44,SECONDARY,1
697,14,47,SECONDARY,1
698,14,50,SECONDARY,1
699,15,47,SECONDARY,1
700,15,50,SECONDARY,1
701,16,47,SECONDARY,1
702,16,50,SECONDARY,1
703,16,52,SECONDARY,1
704,17,50,SECONDARY,1
705,17,47,SECONDARY,1
708,18,52,SECONDARY,1
709,19,50,SECONDARY,1
710,19,48,SECONDARY,1
711,20,50,SECONDARY,1
712,20,52,SECONDARY,1
713,21,50,SECONDARY,1
714,21,52,SECONDARY,1
715,21,45,SECONDARY,1
719,23,45,SECONDARY,1
720,23,46,SECONDARY,1
721,23,49,SECONDARY,1
722,24,45,SECONDARY,1
723,24,49,SECONDARY,1
724,25,44,SECONDARY,1
725,25,46,SECONDARY,1
726,25,49,SECONDARY,1
729,26,52,SECONDARY,1
732,28,49,SECONDARY,1
733,28,45,SECONDARY,1
734,29,43,SECONDARY,1
735,29,50,SECONDARY,1
736,29,52,SECONDARY,1
737,37,53,SECONDARY,1
738,37,47,SECONDARY,1
739,38,52,SECONDARY,1
740,38,48,SECONDARY,1
741,39,55,SECONDARY,1
742,59,55,SECONDARY,1
743,59,50,SECONDARY,1
744,60,52,SECONDARY,1
745,60,47,SECONDARY,1
746,61,41,SECONDARY,1
747,64,47,SECONDARY,1
748,64,49,SECONDARY,1
749,127,52,SECONDARY,1
750,127,49,SECONDARY,1
751,127,42,SECONDARY,1
752,127,51,SECONDARY,1
753,127,54,SECONDARY,1
754,127,57,SECONDARY,1
755,127,45,SECONDARY,1
756,65,52,SECONDARY,1
757,65,47,SECONDARY,1
758,65,41,SECONDARY,1
759,62,39,SECONDARY,1
760,62,41,SECONDARY,1
761,62,42,SECONDARY,1
762,34,52,SECONDARY,1
763,34,45,SECONDARY,1
764,34,39,SECONDARY,1
765,35,52,SECONDARY,1
766,35,51,SECONDARY,1
767,35,45,SECONDARY,1
768,36,52,SECONDARY,1
769,36,45,SECONDARY,1
770,63,41,SECONDARY,1
771,63,42,SECONDARY,1
772,63,52,SECONDARY,1
773,70,41,SECONDARY,1
774,70,40,SECONDARY,1
775,70,57,SECONDARY,1
776,222,42,SECONDARY,1
777,222,41,SECONDARY,1
778,222,54,SECONDARY,1
779,222,57,SECONDARY,1
780,77,57,SECONDARY,1
781,78,49,SECONDARY,1
782,78,51,SECONDARY,1
783,78,41,SECONDARY,1
784,78,40,SECONDARY,1
785,78,39,SECONDARY,1
786,79,52,SECONDARY,1
787,79,56,SECONDARY,1
788,79,49,SECONDARY,1
789,79,42,SECONDARY,1
790,79,51,SECONDARY,1
791,79,41,SECONDARY,1
792,79,40,SECONDARY,1
793,79,57,SECONDARY,1
794,79,39,SECONDARY,1
795,79,45,SECONDARY,1
796,80,57,SECONDARY,1
797,80,50,SECONDARY,1
798,81,42,SECONDARY,1
799,81,51,SECONDARY,1
800,81,41,SECONDARY,1
801,81,40,SECONDARY,1
802,81,54,SECONDARY,1
803,82,40,SECONDARY,1
804,82,39,SECONDARY,1
805,83,51,SECONDARY,1
806,84,51,SECONDARY,1
807,85,42,SECONDARY,1
808,85,40,SECONDARY,1
809,87,42,SECONDARY,1
810,87,41,SECONDARY,1
811,87,40,SECONDARY,1
812,87,39,SECONDARY,1
813,88,43,SECONDARY,1
814,88,51,SECONDARY,1
815,89,42,SECONDARY,1
816,89,41,SECONDARY,1
817,89,40,SECONDARY,1
818,90,43,SECONDARY,1
819,90,44,SECONDARY,1
820,90,57,SECONDARY,1
821,90,50,SECONDARY,1
822,97,49,SECONDARY,1
823,97,57,SECONDARY,1
824,95,52,SECONDARY,1
825,95,57,SECONDARY,1
826,95,50,SECONDARY,1
827,99,50,SECONDARY,1
828,93,42,SECONDARY,1
829,93,41,SECONDARY,1
830,93,40,SECONDARY,1
831,94,42,SECONDARY,1
832,94,41,SECONDARY,1
833,94,40,SECONDARY,1
834,225,52,SECONDARY,1
835,225,49,SECONDARY,1
836,225,43,SECONDARY,1
837,102,57,SECONDARY,1
838,110,49,SECONDARY,1
839,110,57,SECONDARY,1
840,117,51,SECONDARY,1
841,389,42,SECONDARY,1
842,389,41,SECONDARY,1
843,389,39,SECONDARY,1
844,118,52,SECONDARY,1
845,118,56,SECONDARY,1
846,118,42,SECONDARY,1
847,118,41,SECONDARY,1
848,118,40,SECONDARY,1
849,118,39,SECONDARY,1
850,119,52,SECONDARY,1
851,119,43,SECONDARY,1
852,119,57,SECONDARY,1
853,121,52,SECONDARY,1
854,121,57,SECONDARY,1
855,121,50,SECONDARY,1
856,124,51,SECONDARY,1
857,124,41,SECONDARY,1
858,124,40,SECONDARY,1
859,124,54,SECONDARY,1
860,124,45,SECONDARY,1
861,124,50,SECONDARY,1
862,125,43,SECONDARY,1
863,125,57,SECONDARY,1
864,120,57,SECONDARY,1
865,130,51,SECONDARY,1
866,138,43,SECONDARY,1
867,138,57,SECONDARY,1
868,141,41,SECONDARY,1
869,141,40,SECONDARY,1
870,141,57,SECONDARY,1
871,141,50,SECONDARY,1
872,142,52,SECONDARY,1
873,142,40,SECONDARY,1
874,146,45,SECONDARY,1
875,148,42,SECONDARY,1
876,148,41,SECONDARY,1
877,148,40,SECONDARY,1
878,149,51,SECONDARY,1
879,150,45,SECONDARY,1
880,153,57,SECONDARY,1
881,153,50,SECONDARY,1
882,226,49,SECONDARY,1
883,154,56,SECONDARY,1
884,154,42,SECONDARY,1
885,154,41,SECONDARY,1
886,154,40,SECONDARY,1
