"program_id","discipline_type","weight","created_at"
1,crossfit,6,
1,calisthenics,4,
2,calisthenics,4,
2,crossfit,5,
2,olympic_lifting,1,
3,calisthenics,4,
3,crossfit,6,
4,calisthenics,4,
4,crossfit,6,
5,calisthenics,4,
5,crossfit,6,
6,crossfit,5,
6,calisthenics,4,
6,powerlifting,1,
7,crossfit,5,
7,calisthenics,4,
7,powerlifting,1,
8,crossfit,5,
8,calisthenics,4,
8,powerlifting,1,
43,bodybuilding,10,
9,crossfit,5,
9,calisthenics,4,
9,powerlifting,1,
11,crossfit,4,
11,calisthenics,4,
11,powerlifting,2,
12,crossfit,4,
12,calisthenics,4,
12,powerlifting,2,
114,calisthenics,3,2026-01-24 19:12:48.399621
114,crossfit,3,2026-01-24 19:12:48.399631
114,olympic_weightlifting,4,2026-01-24 19:12:48.399632
115,calisthenics,3,2026-01-24 19:12:52.769585
115,crossfit,3,2026-01-24 19:12:52.769593
115,olympic_weightlifting,4,2026-01-24 19:12:52.769594
120,mobility,2,2026-01-24 19:25:57.022258
120,calisthenics,4,2026-01-24 19:25:57.022261
22,crossfit,6,
22,athletic_drills,2,
22,olympic_lifting,2,
120,olympic_lifts,5,2026-01-24 19:25:57.022262
120,crossfit,7,2026-01-24 19:25:57.022263
120,strength,1,2026-01-24 19:25:57.022264
125,calisthenics,2,2026-01-24 19:33:11.577058
125,crossfit,3,2026-01-24 19:33:11.577066
125,olympic_weightlifting,5,2026-01-24 19:33:11.577067
127,calisthenics,2,2026-01-24 19:33:48.853347
127,crossfit,3,2026-01-24 19:33:48.853351
38,mobility,7,
38,calisthenics,5,
38,olympic_lifts,2,
38,crossfit,7,
38,strength,10,
127,olympic_weightlifting,5,2026-01-24 19:33:48.853353
129,mobility,2,2026-01-24 19:34:51.400901
129,calisthenics,4,2026-01-24 19:34:51.400907
129,olympic_lifts,5,2026-01-24 19:34:51.400909
129,crossfit,7,2026-01-24 19:34:51.400911
129,strength,1,2026-01-24 19:34:51.400912
130,crossfit,4,2026-01-24 19:38:15.867484
130,olympic_weightlifting,4,2026-01-24 19:38:15.867489
130,calisthenics,2,2026-01-24 19:38:15.867491
133,mobility,2,2026-01-26 01:27:10.869003
133,calisthenics,4,2026-01-26 01:27:10.869009
133,olympic_lifts,5,2026-01-26 01:27:10.869011
42,calisthenics,7,
42,crossfit,3,
47,mobility,7,
47,calisthenics,5,
47,olympic_lifts,2,
47,crossfit,7,
47,strength,10,
133,crossfit,7,2026-01-26 01:27:10.869013
133,strength,1,2026-01-26 01:27:10.869015
56,powerlifting,5,
56,bodybuilding,5,
58,mobility,7,
58,calisthenics,5,
