"id","user_id","start_date","duration_weeks","goal_1","goal_2","goal_3","goal_weight_1","goal_weight_2","goal_weight_3","split_template","days_per_week","progression_style","hybrid_definition","deload_every_n_microcycles","is_active","created_at","is_template","visibility","name","macro_cycle_id","max_session_duration","persona_aggression","persona_tone"
133,1,2026-01-26,12,STRENGTH,HYPERTROPHY,ENDURANCE,10,0,0,HYBRID,4,DOUBLE_PROGRESSION,,4,true,2026-01-26 01:27:10.855666,false,PRIVATE,,,60,BALANCED,supportive
8,1,2026-01-16,12,STRENGTH,ENDURANCE,EXPLOSIVENESS,4,4,2,FULL_BODY,5,DOUBLE_PROGRESSION,,4,false,2026-01-15 23:14:00.836709,false,PRIVATE,,,60,BALANCED,supportive
43,1,2026-01-20,8,HYPERTROPHY,STRENGTH,ENDURANCE,5,5,0,FULL_BODY,3,DOUBLE_PROGRESSION,,4,false,2026-01-20 00:20:28.606522,false,PRIVATE,Debug Program,,60,BALANCED,supportive
9,1,2026-01-16,12,STRENGTH,ENDURANCE,EXPLOSIVENESS,4,4,2,FULL_BODY,5,DOUBLE_PROGRESSION,,4,false,2026-01-15 23:15:34.034674,false,PRIVATE,,,60,BALANCED,supportive
11,1,2026-01-16,12,STRENGTH,FAT_LOSS,ENDURANCE,3,4,3,FULL_BODY,5,DOUBLE_PROGRESSION,,4,false,2026-01-15 23:23:32.197326,false,PRIVATE,My New Program,,60,BALANCED,supportive
12,1,2026-01-16,12,STRENGTH,FAT_LOSS,ENDURANCE,3,4,3,FULL_BODY,5,DOUBLE_PROGRESSION,,4,false,2026-01-15 23:23:43.24901,false,PRIVATE,,,60,BALANCED,supportive
114,1,2026-01-24,12,ENDURANCE,FAT_LOSS,STRENGTH,5,4,1,HYBRID,5,PAUSED_VARIATIONS,,4,false,2026-01-24 19:12:48.389769,false,PRIVATE,,,60,MODERATE_AGGRESSIVE,analytical
115,1,2026-01-24,12,ENDURANCE,FAT_LOSS,STRENGTH,5,4,1,HYBRID,5,PAUSED_VARIATIONS,,4,false,2026-01-24 19:12:52.765226,false,PRIVATE,,,60,MODERATE_AGGRESSIVE,analytical
22,1,2026-01-16,12,EXPLOSIVENESS,MOBILITY,ENDURANCE,3,2,5,FULL_BODY,4,DOUBLE_PROGRESSION,,4,false,2026-01-16 20:40:07.584259,false,PRIVATE,,,60,BALANCED,supportive
117,1,2026-01-24,12,ENDURANCE,FAT_LOSS,EXPLOSIVENESS,5,3,2,HYBRID,5,PAUSED_VARIATIONS,,4,false,2026-01-24 19:22:57.622541,false,PRIVATE,,,60,MODERATE_AGGRESSIVE,analytical
38,1,2026-01-19,12,STRENGTH,ENDURANCE,MOBILITY,3,4,3,FULL_BODY,5,DOUBLE_PROGRESSION,,4,false,2026-01-18 23:39:35.915357,false,PRIVATE,,,60,BALANCED,supportive
118,1,2026-01-24,12,ENDURANCE,FAT_LOSS,EXPLOSIVENESS,5,3,2,HYBRID,5,PAUSED_VARIATIONS,,4,false,2026-01-24 19:23:02.30352,false,PRIVATE,,,60,MODERATE_AGGRESSIVE,analytical
119,1,2026-01-24,12,STRENGTH,HYPERTROPHY,ENDURANCE,5,5,0,HYBRID,4,DOUBLE_PROGRESSION,,4,false,2026-01-24 19:24:13.545925,false,PRIVATE,,,60,MODERATE_AGGRESSIVE,analytical
42,1,2026-01-20,12,ENDURANCE,FAT_LOSS,STRENGTH,5,5,0,FULL_BODY,4,DOUBLE_PROGRESSION,,4,false,2026-01-20 00:00:34.095637,false,PRIVATE,,,60,BALANCED,supportive
47,1,2026-01-20,8,HYPERTROPHY,STRENGTH,ENDURANCE,5,5,0,UPPER_LOWER,4,DOUBLE_PROGRESSION,,4,false,2026-01-20 01:29:33.777436,false,PRIVATE,Test Program,,60,BALANCED,supportive
56,1,2026-01-20,12,STRENGTH,HYPERTROPHY,ENDURANCE,5,3,2,UPPER_LOWER,4,DOUBLE_PROGRESSION,,4,false,2026-01-20 10:45:50.229622,false,PRIVATE,Reproduction Program,,60,BALANCED,supportive
121,1,2026-01-24,12,STRENGTH,HYPERTROPHY,ENDURANCE,5,5,0,HYBRID,4,DOUBLE_PROGRESSION,,4,false,2026-01-24 19:26:39.958444,false,PRIVATE,,,60,BALANCED,supportive
58,1,2026-01-20,12,STRENGTH,ENDURANCE,HYPERTROPHY,5,5,0,UPPER_LOWER,4,DOUBLE_PROGRESSION,,4,false,2026-01-20 11:48:54.367446,false,PRIVATE,,,60,BALANCED,supportive
122,1,2026-01-24,12,STRENGTH,HYPERTROPHY,ENDURANCE,5,5,0,HYBRID,4,DOUBLE_PROGRESSION,,4,false,2026-01-24 19:27:01.665896,false,PRIVATE,,,60,BALANCED,motivational
125,1,2026-01-24,12,STRENGTH,ENDURANCE,FAT_LOSS,3,3,4,HYBRID,5,PAUSED_VARIATIONS,,4,false,2026-01-24 19:33:11.562483,false,PRIVATE,,,60,MODERATE_AGGRESSIVE,analytical
62,1,2026-01-20,12,STRENGTH,ENDURANCE,MOBILITY,4,4,2,HYBRID,5,DOUBLE_PROGRESSION,,4,false,2026-01-20 13:13:42.262278,false,PRIVATE,,,60,BALANCED,analytical
127,1,2026-01-24,12,STRENGTH,ENDURANCE,FAT_LOSS,3,3,4,HYBRID,5,PAUSED_VARIATIONS,,4,false,2026-01-24 19:33:48.850709,false,PRIVATE,,,60,MODERATE_AGGRESSIVE,analytical
65,1,2026-01-20,12,ENDURANCE,STRENGTH,HYPERTROPHY,7,3,0,HYBRID,5,DOUBLE_PROGRESSION,,4,false,2026-01-20 16:07:05.662408,false,PRIVATE,,,60,MODERATE_AGGRESSIVE,motivational
129,1,2026-01-24,8,STRENGTH,HYPERTROPHY,ENDURANCE,10,0,0,HYBRID,3,DOUBLE_PROGRESSION,,4,false,2026-01-24 19:34:51.39618,false,PRIVATE,,,60,BALANCED,supportive
130,1,2026-01-24,12,STRENGTH,ENDURANCE,FAT_LOSS,1,4,5,HYBRID,5,PAUSED_VARIATIONS,,4,false,2026-01-24 19:38:15.863148,false,PRIVATE,,,60,BALANCED,supportive
