"id","session_id","movement_id","exercise_role","order_in_session","superset_group","target_sets","target_rep_range_min","target_rep_range_max","target_rpe","target_rir","target_duration_seconds","default_rest_seconds","is_complex_lift","substitution_allowed","notes","user_id","stimulus","fatigue","circuit_id"
3036,8492,517,warmup,1,,1,,,,,180,,false,true,Full body mobility,1,,,
3037,8492,3,warmup,2,,2,8,8,,,,,false,true,Light weight warmup,1,,,
3038,8492,16,warmup,3,,2,10,10,,,,,false,true,Warmup sets,1,,,
3039,8492,25,warmup,4,,2,8,8,,,,,false,true,Light warmup,1,,,
3040,8492,82,main,5,,4,6,10,7,,,120,false,true,,1,,,
3041,8492,14,main,6,,4,6,10,7,,,120,false,true,,1,,,
3042,8492,23,main,7,,4,6,10,7,,,120,false,true,,1,,,
3043,8492,53,accessory,8,,3,10,15,7,,,60,false,true,,1,,,
3044,8492,49,accessory,9,,3,10,15,7,,,60,false,true,,1,,,
3045,8492,518,cooldown,10,,3,,,,,300,,false,true,Focus on trained muscles,1,,,
3046,8495,517,warmup,1,,1,,,,,180,,false,true,Full body mobility,1,,,
3047,8495,3,warmup,2,,2,8,8,,,,,false,true,Light weight warmup,1,,,
3048,8495,376,main,3,,4,6,10,7,,,120,false,true,,1,,,
3049,8495,11,main,4,,4,6,10,7,,,120,false,true,,1,,,
3050,8495,53,accessory,5,,3,10,15,7,,,60,false,true,,1,,,
3051,8495,52,accessory,6,,3,10,15,7,,,60,false,true,,1,,,
3052,8495,518,cooldown,7,,3,,,,,300,,false,true,Focus on trained muscles,1,,,
3053,8485,517,warmup,1,,1,,,,,180,,false,true,Full body mobility,1,,,
3054,8485,16,warmup,2,,2,10,10,,,,,false,true,Warmup sets,1,,,
3055,8485,25,warmup,3,,2,8,8,,,,,false,true,Light warmup,1,,,
3056,8485,14,main,4,,4,6,10,7,,,120,false,true,,1,,,
3057,8485,23,main,5,,4,6,10,7,,,120,false,true,,1,,,
3058,8485,49,accessory,6,,3,10,15,7,,,60,false,true,,1,,,
3059,8485,47,accessory,7,,3,10,15,7,,,60,false,true,,1,,,
3060,8485,518,cooldown,8,,3,,,,,300,,false,true,Focus on trained muscles,1,,,
3061,8488,517,warmup,1,,1,,,,,180,,false,true,Full body mobility,1,,,
3062,8488,16,warmup,2,,2,10,10,,,,,false,true,Warmup sets,1,,,
3063,8488,25,warmup,3,,2,8,8,,,,,false,true,Light warmup,1,,,
3064,8488,544,main,4,,4,6,10,7,,,120,false,true,,1,,,
3065,8488,28,main,5,,4,6,10,7,,,120,false,true,,1,,,
3066,8488,49,accessory,6,,3,10,15,7,,,60,false,true,,1,,,
3067,8488,47,accessory,7,,3,10,15,7,,,60,false,true,,1,,,
3068,8488,518,cooldown,8,,3,,,,,300,,false,true,Focus on trained muscles,1,,,
3069,8487,517,warmup,1,,1,,,,,180,,false,true,Full body mobility,1,,,
3070,8487,3,warmup,2,,2,8,8,,,,,false,true,Light weight warmup,1,,,
3071,8487,376,main,3,,4,6,10,7,,,120,false,true,,1,,,
3072,8487,11,main,4,,4,6,10,7,,,120,false,true,,1,,,
3073,8487,53,accessory,5,,3,10,15,7,,,60,false,true,,1,,,
3074,8487,52,accessory,6,,3,10,15,7,,,60,false,true,,1,,,
3075,8487,518,cooldown,7,,3,,,,,300,,false,true,Focus on trained muscles,1,,,
3076,8490,517,warmup,1,,1,,,,,180,,false,true,Full body mobility,1,,,
3077,8490,3,warmup,2,,2,8,8,,,,,false,true,Light weight warmup,1,,,
3078,8490,11,main,3,,4,6,10,7,,,120,false,true,,1,,,
3079,8490,82,main,4,,4,6,10,7,,,120,false,true,,1,,,
3080,8490,52,accessory,5,,3,10,15,7,,,60,false,true,,1,,,
3081,8490,53,accessory,6,,3,10,15,7,,,60,false,true,,1,,,
3082,8490,518,cooldown,7,,3,,,,,300,,false,true,Focus on trained muscles,1,,,
3083,8494,517,warmup,1,,1,,,,,180,,false,true,Full body mobility,1,,,
3084,8494,16,warmup,2,,2,10,10,,,,,false,true,Warmup sets,1,,,
3085,8494,25,warmup,3,,2,8,8,,,,,false,true,Light warmup,1,,,
3086,8494,544,main,4,,4,6,10,7,,,120,false,true,,1,,,
3087,8494,28,main,5,,4,6,10,7,,,120,false,true,,1,,,
3088,8494,49,accessory,6,,3,10,15,7,,,60,false,true,,1,,,
3089,8494,47,accessory,7,,3,10,15,7,,,60,false,true,,1,,,
3090,8494,518,cooldown,8,,3,,,,,300,,false,true,Focus on trained muscles,1,,,
3091,8497,517,warmup,1,,1,,,,,180,,false,true,Full body mobility,1,,,
3092,8497,16,warmup,2,,2,10,10,,,,,false,true,Warmup sets,1,,,
3093,8497,25,warmup,3,,2,8,8,,,,,false,true,Light warmup,1,,,
3094,8497,14,main,4,,4,6,10,7,,,120,false,true,,1,,,
3095,8497,23,main,5,,4,6,10,7,,,120,false,true,,1,,,
3096,8497,49,accessory,6,,3,10,15,7,,,60,false,true,,1,,,
3097,8497,47,accessory,7,,3,10,15,7,,,60,false,true,,1,,,
3098,8497,518,cooldown,8,,3,,,,,300,,false,true,Focus on trained muscles,1,,,
3099,8509,517,warmup,1,,1,,,,,180,,false,true,Full body mobility,1,,,
3100,8509,3,warmup,2,,2,8,8,,,,,false,true,Light weight warmup,1,,,
3101,8509,376,main,3,,4,6,10,7,,,120,false,true,,1,,,
